Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Samsung,2021,"Android 11, One UI 3.1","6.7"" 1440x3200 pixels",64MP 2160p,"6GB RAM Snapdragon 855+, QRNG security",4500mAh Li-Po,"৳55,000.00"
Alcatel,2021,Android 11,"6.1"" 720x1600 pixels",13MP 1080p,2GB RAM,3000mAh Li-Ion,"৳13,000.00"
Nokia,2021,Android 11,"6.52"" 720x1600 pixels",13MP 1080p,4GB RAM Helio G25,5050mAh Li-Po,"৳13,499.00"
Alcatel,2021,Android 11,"6.52"" 720x1600 pixels",48MP 1080p,4GB RAM Helio P22,4000mAh Li-Po,"৳16,000.00"
TCL,2021,"Android 10, TCL UI","6.82"" 720x1600 pixels",48MP 1080p,4GB RAM Snapdragon 460,5000mAh Li-Po,"৳17,000.00"
Motorola,2021,Android 11,"6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Snapdragon 480 5G,5000mAh Li-Po,"৳25,000.00"
ZTE,2021,"Android 11, MyOS 11","6.67"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 888 5G,4200mAh Li-Po,"৳45,000.00"
Lenovo,2021,"Android 11, Legion OS","6.92"" 1080x2460 pixels",64MP 2160p,12-18GB RAM Snapdragon 888 5G,5500mAh Li-Po,"৳60,000.00"
ZTE,2021,Android 11,"6.52"" 1080x2400 pixels",16MP 1080p,4GB RAM MediaTek Helio P22,4000mAh Li-Ion,"৳18,000.00"
Motorola,2021,Android 11,"6.8"" 1080x2460 pixels",108MP 2160p,6GB RAM Snapdragon 732G,6000mAh Li-Po,"৳28,999.00"
Xiaomi,2021,"Android 11, MIUI 12","6.67"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 870 5G,4520mAh Li-Po,"৳39,999.00"
Ulefone,2021,Android 11,"6.1"" 720x1560 pixel",16MP 1080p,6/8GB RAM Helio P60,5580mAh Li-Po,"৳15,000.00"
Xiaomi,2021,"Android 11, MIUI 12","6.5"" 1080x2400 pixels",48MP 2160p,4-8GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳18,500.00"
Xiaomi,2021,"Android 11, MIUI 12","6.43"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Helio G95,5000mAh Li-Po,"৳22,999.00"
Realme,2021,"Android 11, Realme UI 2.0","6.5"" 1080x2400 pixels",48MP 1080p,4-8GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳24,990.00"
Realme,2021,"Android 11, Realme UI 2.0","6.5"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 750G 5G,5000mAh Li-Po,"৳20,000.00"
Realme,2021,"Android 11, Realme UI 2.0","6.43"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Dimensity 1100 5G,4500mAh Li-Po,"৳22,000.00"
Samsung,2021,"Android 11, One UI Core 3.1","6.5"" 720x1600 pixels",48MP 1080p,3/4GB RAM Exynos 850,5000mAh Li-Po,"৳20,000.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.67"" 1080x2340 pixels",64MP 2160p,6-12GB RAM Dimensity 1200 5G,5065mAh Li-Po,"৳38,000.00"
Vivo,2021,"Android 11, Funtouch 11.1","6.58"" 720x1560 pixels",50MP 2160p,8GB RAM MediaTek Helio G80,5000mAh Li-Po,"৳22,990.00"
Symphony,2021,Android 10,"5.0"" 720x1280 pixels",5MP 720p,1GB RAM,2500mAh Li-ion,"৳5,700.00"
ZTE,2021,"Android 11, MyOS 11","6.92"" 1080x2460 pixels",64MP 2160p,6-12GB RAM Snapdragon 870 5G,4200mAh Li-Ion,"৳30,000.00"
Honor,2021,"Android 11, Magic UI 4.0","6.6"" 1080x2400 pixels",64MP 1080p,8GB RAM MediaTek Helio G80,4000mAh Li-Po,"৳22,000.00"
Huawei,2021,"Android 11, EMUI 12, no Google Play Services","6.57"" 1080x2340 pixels",64MP 2160p,8GB RAM Kirin 820E,3800mAh Li-Po,"৳45,000.00"
Micromax,2021,Android 11,"6.52"" 720x1600 pixels",13MP 1080p,4/6GB RAM Unisoc T610,5000mAh Li-Po,"৳10,000.00"
Samsung,2021,"Android 11, One UI 3.1","6.5"" 720x1600 pixels",48MP 1080p,3/4GB RAM Exynos 850,5000mAh Li-Po,"৳15,000.00"
Honor,2021,"Android 11, Magic UI 5, Google Play Services","6.76"" 1344x2772 pixels",108MP 2160p,8/12GB RAM Snapdragon 888+ 5G,4600mAh Li-Po,"৳110,000.00"
Huawei,2021,HarmonyOS 2.0,"6.6"" 1228x2700 pixels",50MP 2160p,8/12GB RAM Kirin 9000,4360mAh Li-Po,"৳124,999.00"
Samsung,2021,"Android 11, One UI 3.1","6.5"" 720x1600 pixels",48MP 1080p,4/6GB RAM Exynos 850,5000mAh Li-Po,"৳15,000.00"
Honor,2021,"Android 11, Magic UI 5, Google Play Services","6.76"" 1344x2772 pixels",108MP 2160p,12GB RAM Snapdragon 888+ 5G,4600mAh Li-Po,"৳150,000.00"
Motorola,2021,Android 11,"6.8"" 1080x2460 pixels",64MP 2160p,6GB RAM Helio G95,5000mAh Li-Po,"৳38,000.00"
Honor,2021,"Android 11, Magic UI 5, Google Play Services","6.76"" 1344x2772 pixels",108MP 2160p,8GB RAM Snapdragon 888 5G,4600mAh Li-Po,"৳90,000.00"
Huawei,2021,"Android 10, EMUI 10.1","6.6"" 1080x2400 pixels",48MP 1080p,8GB RAM Kirin 710A,4000mAh Li-Po,"৳25,000.00"
Honor,2021,"Android 11, Magic UI 4.2","6.67"" 1080x2400 Pixels",64MP 2160p,6/8GB RAM Dimensity 900 5G,4300mAh Li-Po,"৳26,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.52"" 720x1600 pixels",13MP 1080p,4GB RAM Helio G35,5000mAh Li-Po,"৳20,000.00"
Motorola,2021,Android 11,"6.7"" 1080x2400 pixels",108MP 2160p,8GB RAM Dimensity 720 5G,5000mAh Li-Po,"৳35,000.00"
Motorola,2021,Android 11,"6.7"" 1080x2400 pixels",108MP 4320p,12GB RAM Snapdragon 870 5G,4500mAh Li-Po,"৳40,000.00"
Motorola,2021,Android 11,"6.7"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Snapdragon 778G 5G,4000mAh Li-Po,"৳55,000.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.67"" 1080x2340 pixels",108MP 4320p,8/12GB RAM Snapdragon 888+ 5G,4500mAh Li-Po,"৳68,000.00"
Samsung,2021,"Android 11, One UI 3.1 Core","6.5"" 720x1600 pixels",13MP 1080p,3/4GB RAM Helio P35,5000mAh Li-Po,"৳18,599.00"
Xiaomi,2021,"Android 11, MIUI 12.5 for POCO","6.6"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 1100 5G,5000mAh Li-Po,"৳28,000.00"
Vivo,2021,"Android 11, Funtouch 11.1","6.51"" 720x1600 pixels",13MP 1080p,4GB RAM Helio P35,5000mAh Li-Ion,"৳16,990.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.5"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Helio G88,5000mAh Li-Po,"৳18,999.00"
Ulefone,2021,Android 11,"6.52"" 720x1560 pixels",48MP 1440p,8GB RAM Dimensity 700 5G,5180mAh Li-Po,"৳35,000.00"
Vivo,2021,"Android 11, OriginOS","6.56"" 1080x2376 pixels",50MP 2160p,8/12GB RAM Snapdragon 888 5G,4350mAh Li-Po,"৳55,000.00"
Sony,2021,Android 11,"6.5"" 1644x3840 pixels",12MP 2160p,12GB RAM Snapdragon 888 5G,4500mAh Li-Po,"৳138,000.00"
Motorola,2021,Android 11,"6.5"" 720x1600 pixels",48MP 1080p,4GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳26,000.00"
BLU,2021,Android 11,"6.7"" 1080x2400 pixels",48MP 2160p,6GB RAM Helio G90,5000mAh Li-Po,"৳18,000.00"
Google,2021,Android 11,"6.34"" 1080 x 2400 pixels",12MP 2160p,6GB RAM Snapdragon 765G 5G,4680mAh Li-Ion,"৳43,500.00"
Vivo,2021,"Android 11, OriginOS","6.78"" 1440x3200 pixels",50MP 4320p,8/12GB RAM Snapdragon 888+ 5G,4500mAh Li-Po,"৳68,000.00"
Samsung,2021,"Android 11, One UI 3.5","6.7"" 1080x2640 pixels",12MP 2160p,8GB RAM Snapdragon 888 5G,3300mAh Li-Po,"৳122,999.00"
Samsung,2021,"Android 11, One UI 3.5","7.6"" 1768x2208 pixels",12MP 2160p,12GB RAM Snapdragon 888 5G,4400mAh Li-Po,"৳225,999.00"
Motorola,2021,Android 11,"6.7"" 1080x2400 pixels",108MP 2160p,6/8GB RAM Dimensity 800U 5G,5000mAh Li-Po,"৳31,999.00"
Sony,2021,Android 11,"6.0"" 1080x2520 pixels",12MP 2160p,6GB RAM Snapdragon 690 5G,4500mAh Li-Po,"৳40,000.00"
Nokia,2021,Android 11,"5.45"" 720x1440 pixels",5MP 720p,1GB RAM Unisoc SC7731e,2500mAh Li-Ion,"৳6,000.00"
Lenovo,2021,Android 10,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,5000mAh Li-Ion,"৳10,000.00"
Asus,2021,Android 11,"6.78"" 1080x2400 pixels",64MP 4320p,16GB RAM Snapdragon 888 5G,4000mAh Li-Po,"৳130,000.00"
Nokia,2021,Android 11,"6.67"" 1080x2400 pixels",48MP 1080p,4/6GB RAM Snapdragon 480 5G,4630mAh Li-Po,"৳48,000.00"
Walton,2021,Android 10,"6.1"" 720 x 1540 pixels",8MP 1080P,2GB RAM,5000mAh Li-po,"৳7,499.00"
Symphony,2021,Android 11,"6.5"" 720x1600 pixels",13MP 1080p,2GB RAM,5000mAh Li-Po,"৳8,390.00"
Tecno,2021,"Android 11, HiOS 7.6","6.52"" 720x1600 pixels",13MP 1080p,2GB RAM,5000mAh Li-Po,"৳9,990.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.5"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Helio G88,5000mAh Li-Po,"৳18,000.00"
Vivo,2021,"Android 11, Funtouch 12","6.44"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 810 5G,4050mAh Li-Po,"৳38,000.00"
Sony,2021,Android 11,"6.5"" 1644x3840 pixels",12MP 2160p,12GB RAM Snapdragon 888 5G,4500mAh Li-Po,"৳180,000.00"
Coolpad,2021,"Android 11, CoolOS 2","6.58"" 1080x2400 pixels",50MP 1080p,6/8GB RAM Dimensity 900 5G,4500mAh Li-Po,"৳25,000.00"
Samsung,2021,"Android 11, One UI","6.5"" 720x1600 pixels",50MP 1080p,4GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳22,000.00"
Oppo,2021,"Android 11, ColorOS 12","6.43"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Snapdragon 778G 5G,4500mAh Li-Po,"৳40,000.00"
Oppo,2021,"Android 11, ColorOS 12","6.55"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Dimensity 1200 Max 5G,4500mAh Li-Po,"৳47,000.00"
ZTE,2021,"Android 11, MyOS 11","6.67"" 1080x2400 pixels",64MP 1080p,8GB RAM Dimensity 720 5G,5100mAh Li-Po,"৳33,000.00"
Samsung,2021,Android 11,"6.5"" 720x1600 pixels",8MP 1080p,2GB RAM Unisoc SC9863A,5000mAh Li-Ion,"৳11,999.00"
Motorola,2021,Android 11,"6.4"" 1080x2400 pixels",50MP 1080p,4GB RAM Helio G85,5000mAh Li-Po,"৳18,999.00"
BLU,2021,Android 11,"6.8"" 1080x2460 pixels",48MP 1080p,4GB RAM MT6769V,6000mAh Li-Po,"৳20,000.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.6"" 1080x2400 pixels",50MP 2160p,4-8GB RAM Dimensity 810 5G,5000mAh Li-Po,"৳23,000.00"
Infinix,2021,"Android 11, XOS 10","6.7"" 1080x2400 pixels",50MP 1440p,4/6GB RAM Helio G88,5000mAh Li-Po,"৳12,000.00"
Tecno,2021,"Android 11, HIOS 7.6","6.8"" 720x1640 pixels",16MP 1080p,4/6GB RAM Helio G25,6000mAh Li-Po,"৳16,000.00"
Motorola,2021,Android 11,"6.8"" 1080x2460 pixels",50MP 2160p,4-8GB RAM Snapdragon 480+ 5G,5000mAh Li-Po,"৳25,000.00"
Honor,2021,"Android 11, Magic UI 5.0","6.67"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Snapdragon 778G 5G,4800mAh Li-Ion,"৳40,000.00"
Honor,2021,"Android 11, Magic UI 5.0","6.78"" 1200x2652 pixels",108MP 2160p,8/12GB RAM Snapdragon 778G+ 5G,4800mAh Li-Po,"৳52,000.00"
Philips,2021,"Android OS, HMS","6.21"" 720x1520 pixels",13MP 1080p,4GB RAM Unisoc Tiger T310,3900mAh Li-Ion,"৳12,000.00"
Tecno,2021,"Android 11, HIOS 7.6","6.6"" 1080x2408 pixels",50MP 1080p,4GB RAM Helio G70,5000mAh Li-Po,"৳12,000.00"
HTC,2021,Android 11,"6.82"" 720x1640 pixels",13MP 1080p,4GB RAM Unisoc T610,-,"৳16,000.00"
Tecno,2021,"Android 11, HIOS 8.0","6.8"" 1080x2460 pixels",48MP 1080p,8GB RAM Helio G96,5000mAh Li-Po,"৳22,000.00"
Tecno,2021,"Android 11, HIOS 7.6","6.6"" 1080x2408 pixels",50MP 1080p,4GB RAM Helio G35,5000mAh Li-Po,"৳12,000.00"
Motorola,2021,"Android 12, MYUI 3.0","6.7"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 8 Gen1,5000mAh Li-Po,"৳42,000.00"
OnePlus,2021,"Android 11, up to Android 13, OxygenOS 13","6.62"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 888 5G,4500mAh Li-Po,"৳40,000.00"
Oppo,2021,"Android 11, ColorOS 12","7.1"" 1792x1920 pixels",50MP 2160p,8/12GB RAM Snapdragon 888 5G,4500mAh Li-Po,"৳110,000.00"
Oppo,2021,"Android 11, ColorOS 12","6.43"" 1080x2400 pixels",48MP 2160p,8GB RAM Dimensity 900 5G,4500mAh Li-Po,"৳32,000.00"
Walton,2021,Android 11,"6.78"" 1080 x2400 pixels",48MP 1080P,6GB RAM Helio G88 SoC,5000mAh Li-po,"৳20,990.00"
Philips,2021,Android OS,"6.51"" 720x1440 pixels",13MP 1080p,4GB RAM Unisoc Tiger T310,4700mAh Li-Ion,"৳8,000.00"
Motorola,2021,"Android 11, MYUI 2.0","6.8"" 1080x2460 pixels",108MP 2160p,6-12GB RAM Snapdragon 888+ 5G,5000mAh Li-Po,"৳45,000.00"
Vivo,2021,"Android 11, OriginOS","6.58"" 1080x2408 pixels",50MP 2160p,6/8GB RAM Dimensity 700 5G,6000mAh Li-Po,"৳25,000.00"
Huawei,2021,HarmonyOS 2.0,"6.9"" 1188x2790 pixels",40MP 2160p,8/12GB RAM Snapdragon 888 4G,4000mAh Li-Po,"৳100,000.00"
Ulefone,2021,Android 11,"5.45"" 720x1440 pixels",13MP 1080p,4GB RAM Helio A22,5180mAh Li-Po,"৳15,000.00"
Honor,2021,"Android 11, Magic UI 5.0","6.81"" 1080x2388 pixels",48MP 1080p,6/8GB RAM Snapdragon 695 5G,4800mAh Li-Po,"৳22,000.00"
Vivo,2021,"Android 11, Origin OS Ocean","6.62"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 888 5G,4500mAh Li-Po,"৳40,000.00"
Oppo,2021,"Android 10, ColorOS 7.2","6.5"" 720x1600 pixels",13MP 1080p,4/8GB RAM Snapdragon 460,5000mAh Li-Po,"৳15,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.5"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Dimensity 810 5G,5000mAh Li-Po,"৳22,000.00"
Tecno,2021,"Android 11, HIOS 8.0","6.9"" 1080x2460 pixels",50MP 1080p,8GB RAM Dimensity 900 5G,6000mAh Li-Po,"৳30,000.00"
Vivo,2021,"Android 11, Origin OS Ocean","6.67"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 870 5G,4500mAh Li-Po,"৳32,000.00"
Vivo,2021,"Android 11, Origin OS Ocean","6.44"" 1080x2400 pixels2021, December 30",108MP 2160p,8/12GB RAM Dimensity 1100 5G,4200mAh Li-Po,"৳40,000.00"
Vivo,2021,"Android 11, Origin OS Ocean","6.56"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Dimensity 1200 5G,4300mAh Li-Po,"৳45,000.00"
Vivo,2021,"Android 11, OriginOS 1.0","6.51"" 720x1600 pixels",13MP 2160p,4-8GB RAM Snapdragon 680 4G,5000mAh Li-Po,"৳20,000.00"
Xiaomi,2021,"Android 12, MIUI 13","6.28"" 1080x2400 pixels",50MP 4320p,8/12GB RAM Snapdragon 870 5G,4500mAh Li-Po,"৳54,000.00"
Xiaomi,2021,"Android 12, MIUI 13","6.28"" 1080x2400 pixels",50MP 4320p,8/12GB RAM Snapdragon 8 Gen1,4500mAh Li-Po,"৳70,000.00"
Xiaomi,2021,"Android 12, MIUI 13","6.73"" 1440x3200 pixels",50MP 4320p,8/12GB RAM Snapdragon 8 Gen1,4600mAh Li-Po,"৳99,999.00"
Walton,2021,Android 10,"6.55"" 1080 x 2340 pixels",16MP 1080p,4GB RAM Helio P22,4000mAh Li-Po,"৳15,599.00"
Motorola,2021,Android 11,"6.7"" 1080x2340 pixels",64MP 2160p,6/8GB RAM Snapdragon 870 5G,5000mAh Li-Po,"৳38,000.00"
Nokia,2021,"Android 10, planned upgrade to Android 11","6.52"" 720x1600 pixels",8MP 720p,1-3GB RAM Snapdragon 215,4000mAh Li-Po,"৳9,000.00"
Vivo,2021,"Android 11, OriginOS 1.0","6.44"" 1080x2400 pixels",64MP 2160p,8GB RAM Dimensity 820 5G,4000mAh Li-Po,"৳35,000.00"
Realme,2021,"Android 11, realme UI","6.5"" 720x1600 pixels",13MP 2160p,4/6GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳18,000.00"
BLU,2021,Android 10,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM,5000mAh Li-Po,"৳12,000.00"
Energizer,2021,Android 10,"6.2"" 720x1440 pixels",48MP 1080p,4GB RAM Helio P22,5000mAh Li-Ion,"৳32,000.00"
BLU,2021,Android 10,"4.0"" 480x800 pixels",5MP 720p,3GB RAM,1400mAh Li-Po,"৳6,000.00"
BLU,2021,Android 10,"7.0"" 600x1240 pixels",5MP 720p,2GB RAM,2800mAh Li-Po,"৳7,000.00"
BLU,2021,Android 10,"5.5"" 480x960 pixels",8MP 720p,1GB RAM,2550mAh Li-Ion,"৳8,000.00"
Motorola,2021,Android 10,"6.1"" 720x1560 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,3000mAh Li-Ion,"৳20,000.00"
Realme,2021,"Android 10, Realme UI","6.4"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Dimensity 800U 5G,4310mAh Li-Po,"৳28,000.00"
BLU,2021,Android 10,"6.0"" 480x960 pixels",8MP 720p,1GB RAM,3000mAh Li-Ion,"৳7,000.00"
Infinix,2021,"Android 10, XOS 7","6.82"" 720x1640 pixels",13MP 1080p,2GB RAM Helio G25,6000mAh Li-Po,"৳10,000.00"
Ulefone,2021,"Android 10, planned upgrade to Android 11","6.1"" 720x1560 pixels",48MP 2160p,8GB RAM Dimensity 800 5G,5200mAh Li-Po,"৳32,000.00"
BLU,2021,Android 10,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM,5000mAh Li-Po,"৳9,000.00"
ZTE,2021,"Android 10, MiFavor 10.5","6.52"" 720x1560 pixels",16MP 1080p,6GB RAM Dimensity 720 5G,4000mAh Li-Ion,"৳25,000.00"
Samsung,2021,"Android 11, One UI 3.1","6.7"" 1080x2400 pixels",64MP 3240p,6/8GB RAM Exynos 9825,7000mAh Li-Po,"৳27,000.00"
BLU,2021,Android 10,"6.5"" 720x1600 pixels",16MP 1080p,4GB RAM,5000mAh Li-Po,"৳16,000.00"
Huawei,2021,"Android 10, EMUI 11, no Google Play Services","8.0"" 2200x2480 pixels",50MP 2160p,8GB RAM Kirin 9000 5G,4500mAh Li-Po,"৳240,000.00"
Samsung,2021,"Android 11, One UI 3.1","6.4"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Helio G80,5000mAh Li-Po,"৳26,999.00"
Motorola,2021,Android 10,"6.51"" 720x1600 pixels",13MP 1080p,2/4GB RAM Helio G25,5000mAh Li-Po,"৳13,999.00"
Huawei,2021,"Android 10, EMUI, no Google Play Services","6.1"" 1080x2340 pixels",50MP 2160p,8GB RAM Kirin 990,3800mAh Li-Po,"৳55,000.00"
Samsung,2021,"Android 10, One UI 2.0","6.5"" 720x1600 pixels",13MP 1080p,2/3GB RAM MT6739W,5000mAh Li-Po,"৳9,599.00"
Vivo,2021,"Android 10, Funtouch 11","6.51"" 720x1600 pixels",13MP 1080p,4GB RAM Helio P35,5000mAh Li-Po,"৳14,990.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.55"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 865,4500mAh Li-Po,"৳58,000.00"
Xiaomi,2021,"Android 11, MIUI 12.5","6.81"" 1440x3200 pixels",108MP 4320p,8/12GB RAM Snapdragon 888,4600mAh Li-Po,"৳74,000.00"
Vivo,2021,"Android 10, Funtouch 11","6.51"" 720x1600 pixels",13MP 1080p,3GB RAM Snapdragon 439,5000mAh Li-Po,"৳15,000.00"
Samsung,2021,Android 10.0,"6.5"" 720x1520 pixels",13MP 1080p,3/4GB RAM Snapdragon 450,5000mAh Li-Po,"৳15,000.00"
ZTE,2021,"Android 10, MiFavor 10","6.47"" 1080x2340 pixels",64MP 1080p,8GB RAM Snapdragon 765G,4000mAh Li-Ion,"৳36,000.00"
Huawei,2021,"Android 10, EMUI 11, no Google Play Services","6.57"" 1080x2340 pixels",64MP 2160p,8GB RAM HiSilicon Kirin 985 5G,3800mAh Li-Po,"৳42,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.55"" 1080x2340 pixels",64MP 2160p,8/12GB RAM Dimensity 1000+,4350mAh Li-Po,"৳45,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.43"" 1080x2400 Pixels",64MP 2160p,8/12GB RAM Snapdragon 765G,4300mAh Li-Po,"৳29,490.00"
Coolpad,2021,Android 10,"6.53"" 1080x2340 pixels",48MP 1080p,4GB RAM Helio P60,5000mAh Li-Po,"৳18,000.00"
Xiaomi,2021,"Android 10, MIUI 12","6.67"" 1080x2400 pixels",108MP 2160p,6/8GB RAM Snapdragon 750G 5G,4820mAh Li-Po,"৳27,000.00"
Vivo,2021,"Android 11, OriginOS","6.56"" 1080x2376 pixels",48MP 2160p,8/12GB RAM Exynos 1080,4300mAh Li-Po,"৳45,000.00"
Huawei,2021,"Android 10, EMUI 11, no Google Play Services","6.72"" 1236x2676 pixels",64MP 2160p,8GB RAM Kirin 985 5G,4000mAh Li-Po,"৳55,000.00"
Vivo,2021,"Android 11, OriginOS","6.56"" 1080x2376 pixels",48MP 2160p,12GB RAM Exynos 1080,4200mAh Li-Po,"৳65,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.43"" 1080x2400 Pixels",64MP 2160p,8GB RAM Snapdragon 720G,4310mAh Li-Po,"৳35,990.00"
Lava,2021,Android 10,"6.51"" 720x1440 pixels",13MP 1080p,4GB RAM Helio G35,5000mAh Li-Po,"৳11,000.00"
Lava,2021,Android 10,"6.51"" 720x1440 pixels",13MP 1080p,6GB MediaTek Helio G35,5000mAh Li-Po,"৳12,000.00"
Lava,2021,Android 11,"6.51"" 720x1600 pixels",8MP 1080p,2GB RAM Helio G35,5000mAh Li-Po,"৳8,000.00"
Itel,2021,Android 10,"6.6"" 720x1080 pixels",13MP 1080p,2GB RAM,4000mAh Li-Po,"৳8,990.00"
Lava,2021,Android 10,"6.51"" 720x1600 pixels",13MP 1080p,2GB RAM Helio G35,5000mAh Li-Po,"৳9,000.00"
Motorola,2021,Android 10,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM Snapdragon 460,5000mAh Li-Po,"৳16,000.00"
Motorola,2021,Android 10,"6.6"" 720x1600 pixels",48MP 2160p,3/4GB RAM Snapdragon 662,5000mAh Li-Po,"৳18,000.00"
Motorola,2021,Android 10,"6.8"" 1080x2400 pixels",48MP 2160p,4GB RAM Snapdragon 678,4000mAh Li-Po,"৳26,000.00"
Motorola,2021,Android 10,"6.7"" 1080x2400 pixels",48MP 2160p,4/6GB RAM Snapdragon 750G 5G,5000mAh Li-Po,"৳35,000.00"
Vivo,2021,"Android 11, Funtouch 10.5","6.58"" 720x1560 pixels",13MP 2160p,4/6GB RAM Snapdragon 480 5G,5000mAh Li-Po,"৳20,000.00"
Realme,2021,"Android 10, Realme UI","6.4"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Dimensity 800U 5G,4310mAh Li-Po,"৳20,000.00"
Vivo,2021,"Android 11, OriginOS","6.62"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 888,4000mAh Li-Po,"৳45,000.00"
Xiaomi,2021,"Android 10, MIUI 12","6.53"" 1080x2340 pixels",48MP 1080p,4/6GB RAM Snapdragon 662,6000mAh Li-Po,"৳15,999.00"
Xiaomi,2021,"Android 10, MIUI 12","6.53"" 1080x2340 pixels",48MP 1080p,4GB RAM Dimensity 800U 5G,5000mAh Li-Po,"৳20,000.00"
Realme,2021,"Android 10, realme UI 1.0","6.5"" 720x1600 pixels",13MP 1080p,2GB RAM Helio G35,5000mAh Li-Po,"৳10,000.00"
Samsung,2021,Android 10.0,"6.5"" 720x1600 pixels",13MP 1080p,3/4GB RAM Snapdragon 450,5000mAh Li-Po,"৳12,999.00"
Vivo,2021,"Android 10, Funtouch 11","6.51"" 720x1600 pixels",13MP 1080p,6GB RAM Helio G80,5000mAh Li-Ion,"৳17,990.00"
Huawei,2021,"Android 10, EMUI 10.1","6.67"" 1080x2400 pixels",13MP 1080p,4/8GB RAM Kirin 710A,5000mAh Li-Po,"৳18,000.00"
Vivo,2021,"Android 11, Funtouch 11","6.58"" 720x1560 pixels",48MP 2160p,6GB RAM Snapdragon 662,5000mAh Li-Po,"৳20,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.5"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 480 5G,5000mAh Li-Po,"৳30,000.00"
Ulefone,2021,Android 11,"6.52"" 720x1600 pixels",8MP 1080p,2GB RAM Unisoc SC9863A,5500mAh Li-Ion,"৳14,000.00"
HTC,2021,Android 10,"6.7"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 690 5G,5000mAh Li-Po,"৳35,000.00"
HTC,2021,Android 10,"6.7"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 690 5G,5000mAh Li-Po,"৳37,000.00"
Infinix,2021,"Android 10, XOS 7","6.82"" 720x1640 pixels",13MP 1080p,2/4GB RAM Helio G25,6000mAh Li-Po,"৳9,990.00"
Samsung,2021,"Android 11, One UI 3.0","6.5"" 1080x2400 pixels",48MP 1080p,4-8GB RAM Dimensity 720 5G,5000mAh Li-Ion,"৳30,000.00"
Honor,2021,"Android 10, Magic UI 4.0","6.72"" 1236x2676 pixels",50MP 2160p,8GB RAM Dimensity 1000+,4000mAh Li-Po,"৳55,000.00"
Vivo,2021,"Android 11, Funtouch 11","6.58"" 1080x2408 pixels",48MP 1080p,8GB RAM Snapdragon 662,5000mAh Li-Po,"৳22,000.00"
Oppo,2021,"Android 11, ColorOS 11.1","6.5"" 720x1600 pixels",13MP 1080p,6GB RAM Dimensity 700 5G,5000mAh Li-Po,"৳25,000.00"
ZTE,2021,Android 10,"6.5"" 1080x2340 pixels",48MP 2160p,6GB RAM Snapdragon 765G,4000mAh Li-Ion,"৳35,000.00"
