Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Samsung,2016,"Android 6.0.1, up to 7.1.1","5.2"" 720x1280 pixels",13MP 1080p,2GB RAM Snapdragon 410,3100mAh Li-Ion,"৳18,900.00"
Samsung,2016,"Android 6.0.1, up to Android 8.1","5.5"" 720x1280 pixels",13MP 1080p,2GB RAM Snapdragon 617,3300mAh Li-Ion,"৳18,900.00"
Blackview,2017,Android 7.1.1,"5.5"" 1080x1920 pixels",13MP 1080p,6GB RAM MT6757CD Helio P25,6180mAh Li-Ion,"৳11,900.00"
Infinix,2017,Android 7.0,5.5 inches,"8 MP, AF",1 GB RAM,Li-Po 4000 mAh,"৳6,300.00"
Maximus,2017,Android 6.0 (Marshmallow),5.0 inches,5.0 MP,1 GB RAM,Li-Po 2000 mAh Battery,"৳3,990.00"
Tecno,2017,Android 7.0,5.5 inches 720 x 1280 pixels,13 MP 1080p,2 GB RAM,3200 mAh Li-Ion,"৳11,990.00"
Xiaomi,2017,Android 7.1.1,"5.15"" 1080x1920 pixels",12MP 2160p,6GB RAM Snapdragon 835,3350mAh Li-Po,"৳24,990.00"
BlackBerry,2017,"Android 7.1, up to Android 8.0","4.5"" 1080x1620 pixels",12MP 2160p,4GB RAM Snapdragon 625,3500mAh Li-Ion,"৳39,990.00"
Oppo,2017,Android 6.0,"6.0"" 1080x1920 pixels",16MP 2160p,6GB RAM Snapdragon 653,4000mAh Li-Ion,"৳40,990.00"
Xiaomi,2017,Android 7.1.2,"5.0"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 425,3000mAh Li-Ion,"৳10,750.00"
Xiaomi,2017,Android 7.1.2,"5.7"" 720x1440 pixels",12MP 1080p,3GB RAM Snapdragon 450,3300mAh Li-Po,"৳18,490.00"
Vivo,2017,Android 7.1.2; Funtouch 3.2,"5.7"" 720x1440 pixels",16MP 1080p,4GB RAM Snapdragon 450,3000mAh Li-Ion,"৳21,990.00"
Oppo,2017,Android 7.1,"6.0"" 1080x2160 pixels",13MP 1080p,4GB RAM MT6763T Helio P23,3200mAh Li-Ion,"৳21,990.00"
Asus,2017,Android 7; ZenUI 4,"5.7"" 1080x2160 pixels",16MP 1080p,4GB RAM MT6750T,4130mAh Li-Po,"৳23,990.00"
Huawei,2017,Android 8.0; EMUI 8,"5.65"" 1080x2160 pixels",13MP 1080p,4GB RAM HiSilicon Kirin 659,3000mAh Li-Po,"৳26,990.00"
Huawei,2017,Android 8.0; EMUI 8,"6.0"" 1080x2160 pixels",16MP 2160p,6GB RAM HiSilicon Kirin 960,3340mAh Li-Po,"৳38,990.00"
BlackBerry,2017,Android 7.1,"5.5"" 1080x1920 pixels",12MP 2160p,4GB RAM Snapdragon 625,4000mAh Li-Ion,"৳48,500.00"
Micromax,2017,Android 7.0,"5.2"" 720x1280 pixels",5MP 720p,1GB RAM MT6737,5000mAh Li-Po,"৳5,990.00"
HTC,2017,Android 8.0; Sense UI,"6.0"" 1440x2880 pixels",12MP 2160p,6GB RAM Snapdragon 835,3930mAh Li-Ion,"৳62,990.00"
Xiaomi,2017,"Android 6.0, up to 7.0","5.5"" 1080x1920 pixels",13MP 1080p,4GB RAM Snapdragon 625,4100mAh Li-Po,"৳15,500.00"
Vivo,2017,Android 6; Funtouch 3,"5.2"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 425,2730mAh Li-Ion,"৳16,990.00"
Vivo,2017,Android 6; Funtouch 3,"5.5"" 720x1280 pixels",13MP 1080p,3GB RAM,3000mAh Li-Ion,"৳19,000.00"
Xiaomi,2017,"Android 6.0, up to 7.0","5.5"" 1080x1920 pixels",13MP 1080p,4GB RAM Snapdragon 625,4100mAh Li-Po,"৳14,990.00"
Huawei,2017,Android 6.0; EMUI 4.1,"5.0"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 435,3020mAh Li-Po,"৳20,990.00"
Vivo,2017,Android 6; Funtouch 3,"5.5"" 1080x1920 pixels",16MP 2160p,4GB RAM Snapdragon 625,3160mAh Li-Ion,"৳38,200.00"
Tecno,2017,Android 7.0,6.0 inches,"13 MP, f/2.0, AF",2 GB RAM,Li-Ion 3400 mAh,"৳11,500.00"
Samsung,2017,"Android 7.0, up to Android 8.1","5.5"" 720x1280 pixels",13MP 1080p,2GB RAM Exynos 7870 Octa,3000mAh Li-Ion,"৳12,900.00"
Huawei,2017,Android 6.0; EMUI 4.1,"5.0"" 720x1280 pixels",13MP 1080p,2GB RAM MT6737T,3000mAh Li-Ion,"৳13,500.00"
Huawei,2017,Android 7.0; EMUI 5.1,"5.5"" 720x1280 pixels",12MP 1080p,2GB RAM Snapdragon 435,4000mAh Li-Ion,"৳13,990.00"
Nokia,2017,Android 7.1.1,"5.2"" 720x1280 pixels",13MP 1080p,3GB RAM Snapdragon 430,3000mAh Li-Ion,"৳17,500.00"
Micromax,2017,Android 7.0,"5.2"" 1080x1920 pixels",13MP 1080p,4GB RAM Snapdragon 435,2730mAh Li-Ion,"৳24,890.00"
Oppo,2017,Android 7.1,"5.5"" 1080x1920 pixels",13MP 1080p,4GB RAM Snapdragon 625,3200mAh Li-Ion,"৳29,990.00"
Vivo,2017,"Android 7.1, up to Android 8.0; Funtouch 3.1","5.85"" 1080x1920 pixels",16MP 1080p,4GB RAM Snapdragon 653,4015mAh Li-Ion,"৳33,690.00"
Vivo,2017,"Android 7.1, up to Android 8.0; Funtouch 3.1","5.5"" 1080x1920 pixels",16MP 1080p,4GB RAM Snapdragon 652,3320mAh Li-Ion,"৳33,990.00"
Oppo,2017,Android 7.1.1,"6.0"" 1080x1920 pixels",20MP 2160p,6GB RAM Snapdragon 660,4000mAh Li-Po,"৳44,990.00"
Nokia,2017,"Android 7.0, up to Android 8.0","5.0"" 720x1280 pixels",8MP 720p,2GB RAM MT6737,2630mAh Li-Ion,"৳10,990.00"
Huawei,2017,Android 6.0; EMUI 4.1,"5.0"" 720x1280 pixels",8MP 1080p,2GB RAM MT6737T,3000mAh Li-Ion,"৳10,990.00"
Motorola,2017,Android 7.1.1,"5.5"" 720x1280 pixels",13MP 720p,3GB RAM MT6737,5000mAh Li-Ion,"৳11,990.00"
Samsung,2017,"Android 7.0, planned upgrade to Android 8.0","5.7"" 1080x1920 pixels",13MP 1080p,4GB RAM MT6757 Helio P20,3300mAh Li-Ion,"৳16,990.00"
Huawei,2017,Android 7.0; EMUI 5.1,"5.5"" 720x1280 pixels",12MP 1080p,3GB RAM Snapdragon 435,4000mAh Li-Ion,"৳17,900.00"
Huawei,2017,Android 7.0; EMUI 5.1,"8.0"" 1200x1920 pixels",8MP 1080p,4GB RAM Snapdragon 435,4800mAh Li-Po,"৳24,990.00"
Huawei,2017,Android 7.0; EMUI 5.1,"5.0"" 1080x1920 pixels",12MP 1080p,4GB RAM HiSilicon Kirin 659,2950mAh Li-Po,"৳29,700.00"
Huawei,2017,Android 7.0; EMUI 5.1,"5.5"" 1080x1920 pixels",12MP 1080p,4GB RAM HiSilicon Kirin 659,3340mAh Li-Po,"৳34,200.00"
Oppo,2017,Android 7.1.1,"5.5"" 1080x1920 pixels",20MP 2160p,6GB RAM Snapdragon 660,3000mAh Li-Po,"৳41,500.00"
Vivo,2017,Android 5.1; Funtouch 2.1,"4.5"" 480x854 pixels",5MP Video recorder,1GB RAM MT6580,1900mAh Li-Ion,"৳10,500.00"
Tecno,2017,Android 7.0,5.5 inches 1080 x 1920 pixels,16 MP 1080p,"2 GB, 3 GB Mediatek MT6750T",3200 mAh Li-Ion,"৳11,990.00"
Oppo,2017,Android 5.1,"5.2"" 720x1280 pixels",13MP 1080p,3GB RAM MT6750,2900mAh Li-Ion,"৳15,500.00"
BlackBerry,2017,Android 7.0,"5.5"" 720x1280 pixels",13MP 1080p,4GB RAM Snapdragon 425,3000mAh Li-Ion,"৳21,500.00"
Xiaomi,2017,Android 7.1,"5.15"" 1080x1920 pixels",12MP 1080p,3GB RAM Xiaomi Surge S1,2860mAh Li-Ion,"৳25,000.00"
Tecno,2017,Android 7.0,5.5 inches 1080 x 1920 pixels,"16 MP, f/2.0, PDAF",4 GB RAM Mediatek MT6750T,3200 mAh Li-Ion,"৳28,800.00"
Huawei,2017,"Android 7.0, up to Android 8.0; EMUI 8","5.2"" 1080x1920 pixels",12MP 1080p,4GB RAM HiSilicon Kirin 658,3000mAh Li-Po,"৳29,990.00"
Infinix,2017,Android 6.0,5.98 inches 1080 x 1920 pixels,"21 MP, f/2.0, OIS, Laser AF/ PDAF",4 GB RAM Mediatek MT6797M Helio X20,4000 mAh Li-Ion,"৳29,990.00"
Huawei,2017,"Android 7.0, up to Android 9.0; EMUI 9","5.1"" 1080x1920 pixels",20MP 2160p,4GB RAM HiSilicon Kirin 960,3200mAh Li-Ion,"৳57,500.00"
Vivo,2017,Android 6; Funtouch 3,"5.0"" 540x960 pixels",8MP 720p,2GB RAM Snapdragon 425,2500mAh Li-Ion,"৳8,990.00"
Oppo,2017,Android 6.0,"5.5"" 1080x1920 pixels",13MP 1080p,4GB RAM MT6750T,3200mAh Li-Ion,"৳24,990.00"
Vivo,2017,Android 6; Funtouch 3,"5.5"" 720x1280 pixels",13MP 1080p,4GB RAM MT6750,3000mAh Li-Ion,"৳25,500.00"
Oppo,2017,Android 6.0,"5.5"" 1080x1920 pixels",13MP 1080p,4GB RAM MT6750T,3200mAh Li-Ion,"৳31,500.00"
Essential,2017,Android 7.1,5.71 inches (~84.9% screen-to-body ratio),"Dual 13 MP, f/1.9, phase detection & laser autofoc",4 GB RAM,3040 mAh Battery,"৳60,400.00"
Xiaomi,2017,"Android 6.0.1, up to 7.1.2","5.0"" 720x1280 pixels",13MP 1080p,4GB RAM Snapdragon 435,4100mAh Li-Po,"৳9,990.00"
Tecno,2017,Android 7.0,5.5 inches,"13 MP, AF","1 GB, 2 GB",Li-Ion 3000 mAh,"৳11,500.00"
Xiaomi,2017,Android 7.1.2,"5.5"" 720x1280 pixels",13MP 1080p,4GB RAM Snapdragon 435,3080mAh Li-Ion,"৳12,700.00"
Huawei,2017,Android 8.0; EMUI 8,"6.0"" 1080x2160 pixels",20MP 2160p,6GB RAM HiSilicon Kirin 970,4000mAh Li-Po,"৳135,990.00"
